particle_index,mean_I
359,-0.0015172653906267936
360,-0.0016702836138109954
361,-0.0021977663417693774
362,-0.0022041527328798354
363,-0.0011426303677533585
364,-0.0020466854506130854
365,-0.0018478984144165314
366,-0.001144856821531737
367,-0.0023071155351327105
369,-0.00181661375075563
372,-0.0016982521797255757
374,-0.0016673046458418129
377,-0.002295436079256737
378,-0.0022865570122124314
380,-0.0022776779451681266
381,-0.0011582763691959398
383,-0.001538948063645208
384,-0.0022632399196306193
386,-0.0015443840716412088
387,-0.0018738834110593708
388,-0.0016459944467240358
389,-0.001839019347372226
391,-0.0023081057272937608
393,-0.0022776779451681266
394,-0.0022969226109074313
395,-0.0017646733064498564
396,-0.0020924174770013976
397,-0.0021141888387937596
399,-0.001801332209930558
400,-0.002415849302700404
401,-0.00233883814406735
402,-0.0024672284144723906
404,-0.0013992886545781333
405,-0.0024672284144723906
406,-0.001313614975456062
408,-0.0018271697883262671
410,-0.0019860063907806967
412,-0.001751903632929346
415,-0.0020597851900394696
416,-0.0021969587286807483
418,-0.0024672284144723906
419,-0.0014012472347290916
420,-0.002378842170573915
421,-0.0024672284144723906
422,-0.0013244972296050852
423,-0.0013235869917718026
424,-0.002462139928420803
425,-0.0024672284144723906
426,-0.002462139928420803
427,-0.0024672284144723906
428,-0.0024602446379219313
430,-0.0018251542393071393
432,-0.001498852208911823
434,-0.0022551623589968867
435,-0.0024312489758065528
436,-0.0024672284144723897
437,-0.0012944606499497586
439,-0.0016496299716854978
440,-0.002295436079256737
441,-0.0014787847697530726
444,-0.0024513655708776256
445,-0.002139357390410486
446,-0.0024672284144723906
453,-0.0020851188086156375
454,-0.002116976175192051
456,-0.002426026274803579
457,-0.0024672284144723906
458,-0.0017435422737042319
460,-0.002371238307735511
462,-0.001762367433134038
463,-0.001513873192730986
464,-0.0023288228404546546
465,-0.0024672284144723906
467,-0.0024672284144723906
468,-0.0024068838724143507
469,-0.0019909499207874295
470,-0.002332821251567939
473,-0.0024672284144723906
474,-0.0018562681202113002
475,-0.0022661128928879873
476,-0.0024672284144723906
477,-0.0017618232119028178
478,-0.0024672284144723906
481,-0.002272383826846026
482,-0.0015816314032882964
483,-0.0013251318668067167
484,-0.0023081057272937603
485,-0.0021866662862003493
486,-0.0015336309094053835
487,-0.0016480961443773917
488,-0.0024672284144723906
489,-0.002456454056929214
492,-0.002049884680565355
493,-0.0020143339171340654
494,-0.0024602446379219313
495,-0.0017389267021398237
497,-0.0015738749801409687
498,-0.00225009250929407
499,-0.0024672284144723906
500,-0.0023081057272937608
502,-0.0020044155103949132
503,-0.0018457736287882786
505,-0.0023217442736813898
506,-0.001709666877053506
507,-0.0023025833327492444
508,-0.0020814278962862343
513,-0.0024672284144723906
514,-0.0024672284144723906
515,-0.0024672284144723906
516,-0.0024672284144723906
517,-0.0024672284144723906
518,-0.001673040614560588
520,-0.0013361551095028568
522,-0.0017536481371673751
523,-0.0022754743149690335
527,-0.00217693297620899
529,-0.0024672284144723906
530,-0.002274192414263125
532,-0.0023063965652054584
533,-0.0023503063430147693
534,-0.0024602446379219313
535,-0.0021980559354044457
536,-0.0022653874210526812
537,-0.002081355304076748
539,-0.0013698047081478382
540,-0.0024602446379219313
541,-0.001319607818930909
543,-0.0024672284144723906
544,-0.0014743175409172623
545,-0.0019582183120704626
546,-0.0021904148640426607
547,-0.0021966486732974307
548,-0.0022811051124015515
549,-0.0015840306132194279
550,-0.0024672284144723906
551,-0.002306423358668219
553,-0.0013959452654302568
558,-0.002261943657127868
560,-0.0016179425364971681
561,-0.0024672284144723906
564,-0.0024602446379219313
565,-0.0024672284144723897
567,-0.002371953904603463
570,-0.0024672284144723906
574,-0.0016088196855176878
577,-0.002434905341847885
578,-0.0024602918129379603
580,-0.0022916454982640196
581,-0.002317791914464927
582,-0.0023081057272937603
583,-0.0018379724699816953
584,-0.002415849302700404
585,-0.002310558995734917
586,-0.002201120619970293
587,-0.0016280602312518982
588,-0.002301927128430102
591,-0.0024672284144723906
592,-0.0020825004544008153
597,-0.0024648246788357294
598,-0.0024602446379219313
599,-0.0024672284144723906
