particle_index,mean_I
1,-0.0017732253087533517
2,-0.0018478984144165314
3,-0.0016491287629537847
4,-0.0010644043834801401
5,-0.0018174706322908972
6,-0.0017366664638523933
7,-0.0013070954600808344
8,-0.0017743732021282402
9,-0.001510079093030471
10,-0.0011064547759278083
11,-0.0018136800512981797
13,-0.001953791495361331
14,-0.0011182904052593932
16,-0.0018174706322908972
17,-0.001839019347372226
18,-0.0015511327804507808
20,-0.0011013668168931051
23,-0.0014488931705187158
24,-0.0018409606307158047
26,-0.0013895349050972441
27,-0.001658092426189809
28,-0.0011588324044202961
29,-0.0018478984144165314
34,-0.0012787982457042716
35,-0.0018085915652465917
36,-0.00148515873062839
37,-0.0017126712953771926
38,-0.0017845480319595608
39,-0.0015189270116845917
40,-0.0017490339060541938
43,-0.0017480165985723608
45,-0.0012358104013506705
46,-0.001970911377596203
47,-0.0016742033357833343
48,-0.0012946571109153267
50,-0.0011003547926485286
51,-0.001026348297031128
52,-0.0018047216962933724
54,-0.0019599277770772218
55,-0.0018136800512981797
56,-0.0017992640391521469
57,-0.0017005926619776198
58,-0.0017994353353156228
59,-0.0012215708193810382
60,-0.0011948764663132622
61,-0.0016496934122003232
62,-0.0018136800512981797
63,-0.0018301402803279204
65,-0.00131703855555497
69,-0.0015867050187219546
72,-0.0013227446254644702
73,-0.0013109905604649441
75,-0.0017004903915417305
76,-0.0017433313910010402
77,-0.001176051675023037
78,-0.0016926283105451786
79,-0.0017189153018629514
80,-0.0016919496183616409
81,-0.0014245266526946151
82,-0.0016701141935804387
84,-0.0018174706322908972
86,-0.0018390193473722257
88,-0.0011271809496533679
89,-0.0016033934713353397
90,-0.0010490646388464967
91,-0.001817470632290897
92,-0.0017121278439527641
93,-0.0018478984144165314
94,-0.0018174706322908972
97,-0.0017661626193460848
98,-0.0015354018882011106
100,-0.0011655847173627472
101,-0.0016695232621118123
102,-0.0017543353377717846
104,-0.0012115262726197994
106,-0.001213731616242491
109,-0.0019671168669852203
110,-0.0012916158910344264
111,-0.00175030307487401
113,-0.00119063819222433
116,-0.0016279869533826845
117,-0.0019157017315081664
118,-0.0011905501227930041
119,-0.0017401548390098883
121,-0.0011322883048295786
122,-0.0016922237929463215
125,-0.0016853059767370786
129,-0.0012093767056838081
131,-0.0016623716532219196
133,-0.0017609785119342596
134,-0.0018161780448485894
137,-0.0011440637470307943
138,-0.0012840826446215636
141,-0.0018174706322908972
142,-0.0013433158940396046
145,-0.0015704724558500464
146,-0.001330794654246596
147,-0.0019456627393425576
148,-0.0019473129707761533
149,-0.0017249925150423669
150,-0.0010842410187582997
151,-0.0010531053268200672
152,-0.0011827419847533441
153,-0.0018478984144165314
154,-0.0018123821462393097
155,-0.001305578590054597
156,-0.0015602347379801154
157,-0.0012816211479381604
162,-0.0017443706340995184
164,-0.001671635244301779
166,-0.0017376621630760404
167,-0.0015472627501330466
168,-0.0010161241587003074
169,-0.0017331643994452784
170,-0.0010777935212805977
171,-0.0019059880301248277
173,-0.0013247189128523544
175,-0.0018478984144165314
177,-0.001667373388158876
179,-0.0018174706322908972
180,-0.0010014555249200712
182,-0.0015715990755410991
183,-0.0018187685373497672
184,-0.001779857677901862
187,-0.0017754611768909653
188,-0.001786812056020032
190,-0.0016499408726976088
191,-0.0017826060244548665
192,-0.0017933898740519587
193,-0.001631785395394231
194,-0.0011810092699351355
195,-0.0017908334311579812
196,-0.001490959064369037
197,-0.0018098799752095547
198,-0.0019266293846115
199,-0.0019240694985519385
200,-0.001070322025407397
201,-0.002286557012212432
202,-0.002304315146301043
203,-0.0021823500882480118
205,-0.0022130317999241402
206,-0.0018516889954092492
207,-0.0010758321183042428
208,-0.0018516889954092494
209,-0.002200362151887118
210,-0.002036915365046802
211,-0.0022080180773532514
212,-0.0018376035576526393
213,-0.002272589459116539
215,-0.0022580739944606442
216,-0.001316996619954848
218,-0.0018516889954092494
219,-0.0023081057272937603
220,-0.002286557012212432
