x,y,z,Bx,By,Bz
-0.17227215458500000356,0.03630203690082121275,-0.15144449421499999939,-0.00000000000691432880,-0.00000012944748383313,0.00000003837637266556
-0.17227215458500000356,0.03630203690082121275,-0.13850477007637931008,-0.00000000000690848997,-0.00000012908460663680,0.00000004058729419423
-0.17227215458500000356,0.03630203690082121275,-0.12556504593775862076,-0.00000000000688124216,-0.00000012827615484259,0.00000004293425435165
-0.17227215458500000356,0.03630203690082121275,-0.11262532179913793146,-0.00000000000682869185,-0.00000012694303810206,0.00000004541709117170
-0.17227215458500000356,0.03630203690082121275,-0.09968559766051724214,-0.00000000000674646088,-0.00000012499693444695,0.00000004803204728364
-0.17227215458500000356,0.03630203690082121275,-0.08674587352189655284,-0.00000000000662969916,-0.00000012234091700774,0.00000005077059247983
-0.17227215458500000356,0.03630203690082121275,-0.07380614938327586353,-0.00000000000647313743,-0.00000011887102810348,0.00000005361805959554
-0.17227215458500000356,0.03630203690082121275,-0.06086642524465517421,-0.00000000000627119709,-0.00000011447916060387,0.00000005655214710062
-0.17227215458500000356,0.03630203690082121275,-0.04792670110603448490,-0.00000000000601817710,-0.00000010905763223721,0.00000005954140081718
-0.17227215458500000356,0.03630203690082121275,-0.03498697696741379559,-0.00000000000570853839,-0.00000010250579528272,0.00000006254386653168
-0.17227215458500000356,0.03630203690082121275,-0.02204725282879310629,-0.00000000000533730182,-0.00000009473886321073,0.00000006550619843705
-0.17227215458500000356,0.03630203690082121275,-0.00910752869017241697,-0.00000000000490056474,-0.00000008569880720638,0.00000006836359657379
-0.17227215458500000356,0.03630203690082121275,0.00383219544844827234,-0.00000000000439611906,-0.00000007536665162259,0.00000007104099484317
-0.17227215458500000356,0.03630203690082121275,0.01677191958706896166,-0.00000000000382412068,-0.00000006377481215542,0.00000007345588038036
-0.17227215458500000356,0.03630203690082121275,0.02971164372568965096,-0.00000000000318771977,-0.00000005101741161231,0.00000007552294451657
-0.17227215458500000356,0.03630203690082121275,0.04265136786431034028,-0.00000000000249352356,-0.00000003725603343952,0.00000007716042153834
-0.17227215458500000356,0.03630203690082121275,0.05559109200293102958,-0.00000000000175174711,-0.00000002271845910899,0.00000007829750347375
-0.17227215458500000356,0.03630203690082121275,0.06853081614155171889,-0.00000000000097593139,-0.00000000768883305146,0.00000007888175229901
-0.17227215458500000356,0.03630203690082121275,0.08147054028017240821,-0.00000000000018218237,0.00000000751061213707,0.00000007888515392898
-0.17227215458500000356,0.03630203690082121275,0.09441026441879309751,0.00000000000061200395,0.00000002254407228268,0.00000007830754319910
-0.17227215458500000356,0.03630203690082121275,0.10734998855741378682,0.00000000000138915267,0.00000003708901136924,0.00000007717662444216
-0.17227215458500000356,0.03630203690082121275,0.12028971269603447615,0.00000000000213321079,0.00000005086072947650,0.00000007554458288736
-0.17227215458500000356,0.03630203690082121275,0.13322943683465516545,0.00000000000283069629,0.00000006363072552996,0.00000007348205447616
-0.17227215458500000356,0.03630203690082121275,0.14616916097327585476,0.00000000000347143021,0.00000007523663373552,0.00000007107072141283
-0.17227215458500000356,0.03630203690082121275,0.15910888511189654406,0.00000000000404879825,0.00000008558357825269,0.00000006839589042745
-0.17227215458500000356,0.03630203690082121275,0.17204860925051723337,0.00000000000455959412,0.00000009463848713409,0.00000006554013705066
-0.17227215458500000356,0.03630203690082121275,0.18498833338913792270,0.00000000000500356351,0.00000010241981402730,0.00000006257863341918
-0.17227215458500000356,0.03630203690082121275,0.19792805752775861200,0.00000000000538278751,0.00000010898521028213,0.00000005957630828251
-0.17227215458500000356,0.03630203690082121275,0.21086778166637930131,0.00000000000570102815,0.00000011441921995344,0.00000005658664203954
-0.17227215458500000356,0.03630203690082121275,0.22380750580499999061,0.00000000000596312272,0.00000011882236227959,0.00000005365171722684
-0.17227215458500000356,0.03811649579733517982,-0.15144449421499999939,-0.00000000000694905684,-0.00000012974466110187,0.00000003742520948860
-0.17227215458500000356,0.03811649579733517982,-0.13850477007637931008,-0.00000000000694537375,-0.00000012940057842273,0.00000003958733839307
-0.17227215458500000356,0.03811649579733517982,-0.12556504593775862076,-0.00000000000692033324,-0.00000012861111128862,0.00000004188330391513
-0.17227215458500000356,0.03811649579733517982,-0.11262532179913793146,-0.00000000000687000530,-0.00000012729674394445,0.00000004431310513510
-0.17227215458500000356,0.03811649579733517982,-0.09968559766051724214,-0.00000000000678996150,-0.00000012536857917403,0.00000004687323324454
-0.17227215458500000356,0.03811649579733517982,-0.08674587352189655284,-0.00000000000667528500,-0.00000012272893713167,0.00000004955551081502
-0.17227215458500000356,0.03811649579733517982,-0.07380614938327586353,-0.00000000000652062101,-0.00000011927290572240,0.00000005234574337571
-0.17227215458500000356,0.03811649579733517982,-0.06086642524465517421,-0.00000000000632028534,-0.00000011489120920764,0.00000005522223448433
-0.17227215458500000356,0.03811649579733517982,-0.04792670110603448490,-0.00000000000606845190,-0.00000010947479041492,0.00000005815427380236
-0.17227215458500000356,0.03811649579733517982,-0.03498697696741379559,-0.00000000000575944062,-0.00000010292146134088,0.00000006110078659261
-0.17227215458500000356,0.03811649579733517982,-0.02204725282879310629,-0.00000000000538812324,-0.00000009514481708233,0.00000006400942634577
-0.17227215458500000356,0.03811649579733517982,-0.00910752869017241697,-0.00000000000495045281,-0.00000008608527673628,0.00000006681648151914
-0.17227215458500000356,0.03811649579733517982,0.00383219544844827234,-0.00000000000444409964,-0.00000007572258230349,0.00000006944801794645
-0.17227215458500000356,0.03811649579733517982,0.01677191958706896166,-0.00000000000386914267,-0.00000006408838513614,0.00000007182264078939
